controller,rmse_m,transient_rmse_m,settled_rmse_m,mae_m,p95_m,max_m
Fossen PID/SMC,9.910630107971974,9.707257906739027,9.253935517811884,8.679414540266666,16.87403025,20.960089
PID (tuned),1.9891788468711864,2.6679494564146116,0.5002828843269431,1.2482174925333334,4.654738849999999,6.898074
NMPC traj. (N=12),0.04704442213434482,0.07185012382033557,0.013510280758839421,0.027310024566666664,0.08004535,0.315893
NMPC offset-free (N=12),0.047495134901766864,0.0725760607456925,0.013499041594921346,0.027344411500000002,0.0823873,0.319396
