controller,rmse_deg,mae_deg,iae_deg_s,itae,max_deg,std_deg
Fossen PID/SMC,33.62183533270084,22.286050574633336,13371.630344779998,4193105.416563756,91.54170000000003,28.370861299552523
PID (tuned),1.5238026261542226,0.7042949049333352,422.5769429600011,122406.68145573394,5.443462000000017,1.4235390038651623
NMPC offset-free (N=12),0.24930190684405235,0.12975096886666812,77.85058132000086,23535.47795487606,1.4350469999999949,0.24516558196596164
