controller,rmse_m,mae_m,iae_m_s,itae,max_m,std_m
Fossen PID/SMC,9.910630104586637,8.679414537566666,5207.64872254,1609843.7717749567,20.960089,9.703092703256733
PID (tuned),1.9891788458015156,1.2482174929666665,748.93049578,240922.3197735988,6.898075000000002,1.9873708333961657
NMPC offset-free (N=12),0.04749514222849254,0.027344416733333352,16.406650040000013,5367.097726278804,0.31939599999999757,0.047008727322404895
