controller,regime,rmse,mae,iae,itae,p95,p99,max
Fossen PID/SMC,aggregate,33.62183533270084,22.286050574633332,13371.630344777339,4193105.416562921,75.9736582,89.80638776,91.54170000000003
Fossen PID/SMC,transient,44.294170403748,34.61171728628571,6057.050525098794,1781115.2964513772,81.65809639999998,87.48238004000001,89.86413799999998
Fossen PID/SMC,settled,23.348665882702853,15.31018811783333,3674.4451482792683,1135800.6500095825,52.54782189999996,67.50050209000001,74.24710800000003
PID (tuned),aggregate,1.5238026261542226,0.7042949049333351,422.57694295991706,122406.6814557096,4.339718150000003,5.078579520000007,5.443462000000017
PID (tuned),transient,2.78532792187443,2.185322899314286,382.43150737992397,108212.96316889048,4.948991099999987,5.376912009999986,5.443462000000017
PID (tuned),settled,0.04916442028383966,0.04578138458333712,10.987532299998724,3849.262042829126,0.06496849999999864,0.07576551000000485,0.07858399999999394
NMPC traj. (N=12),aggregate,1.6090145772249669,0.694121785766668,416.473071459918,119868.03137067021,4.495593099999967,5.899008309999994,6.279492999999997
NMPC traj. (N=12),transient,2.9255734246771072,2.133649019657143,373.38857843992577,105469.03150919265,5.813325799999999,6.124754609999991,6.279492999999997
NMPC traj. (N=12),settled,0.05273364589412999,0.033505023333335555,8.041205599998934,3000.7027506197123,0.10006604999999999,0.10194006,0.168077
NMPC offset-free (N=12),aggregate,0.24930190684405235,0.12975096886666812,77.85058131998538,23535.477954871374,0.6314490500000097,0.9791392699999796,1.4350469999999949
NMPC offset-free (N=12),transient,0.4440052961340731,0.3273120406857145,57.27960711998864,17350.622223052953,0.909941300000001,1.2806030300000015,1.4350469999999949
NMPC offset-free (N=12),settled,0.05212664561956822,0.032932582416669014,7.90381977999899,2933.5293128273343,0.097968,0.10019301,0.1934
