controller,start,end,iae,mae,rmse,max_abs,steady_state
PID (tuned),0.0,5.0,0.03335209999999337,0.006670420000000001,0.008335867506864537,0.018381,0.006005629999999999
PID (tuned),5.0,60.0,0.6230019199998761,0.011327307636363635,0.017733761911644948,0.046813,0.005450446363636364
PID (tuned),60.0,120.0,87.56004381998264,1.4593340636666676,2.094447310331056,4.856405999999997,0.44971101666666863
PID (tuned),120.0,180.0,20.46323363999605,0.341053894000002,0.34310785827304024,0.4138450000000001,0.3000076416666686
PID (tuned),180.0,260.0,124.82368339997524,1.5602960425000008,2.141963497361451,4.90925499999998,0.7513078843750015
PID (tuned),260.0,340.0,41.68168929999184,0.5210211162500016,0.5279493996704125,0.6739310000000059,0.43514001625000187
PID (tuned),340.0,420.0,126.55537203997557,1.5819421505000093,2.040029990223859,4.407249999999997,0.8890553443750236
PID (tuned),420.0,500.0,91.8855979599822,1.148569974500006,1.3734805104138283,3.2982649999999825,0.833547811875009
PID (tuned),500.0,600.0,74.76048619998558,0.7476048620000045,0.9553945511848027,2.0626740000000128,0.2837375795000081
NMPC offset-free (N=12),0.0,5.0,0.3805511999999243,0.07611024,0.10654374178111073,0.1934,0.16185723
NMPC offset-free (N=12),5.0,60.0,5.902220499998826,0.10731310000000001,0.11415133627850833,0.17691,0.09787670272727274
NMPC offset-free (N=12),60.0,120.0,11.283603499997707,0.18806005833333253,0.326615143632622,1.082081000000006,0.004753437499997903
NMPC offset-free (N=12),120.0,180.0,1.1700443599996928,0.01950073933333209,0.02745032008136325,0.06318400000000354,0.005231498333331297
NMPC offset-free (N=12),180.0,260.0,16.09642023999687,0.20120525300000094,0.36650518766657114,1.4350469999999949,0.005146593750001668
NMPC offset-free (N=12),260.0,340.0,1.2799556999998483,0.015999446250001288,0.020735824902479875,0.047040000000022925,0.005853901875001133
NMPC offset-free (N=12),340.0,420.0,14.858425099997044,0.18573031375,0.31644636936338805,1.133829000000032,0.0018442125000000603
NMPC offset-free (N=12),420.0,500.0,13.387783039997753,0.16734728800000523,0.2874119102782984,1.0115330000000191,0.03249800437500884
NMPC offset-free (N=12),500.0,600.0,13.491577679997707,0.1349157768000039,0.21613824823993913,0.9177029999999441,0.09340531500000719
