N,Kursa_RMSE_deg,P99_ms,Maks_ms,Daļa_periodā
8,2.2142719932482353,15.802494855597613,46.89435590989888,1.0
12,2.1900758861153284,21.842228902969506,59.79151395149529,1.0
16,2.2011763688202532,29.92186327930539,72.48046202585101,1.0
20,2.2085759337754425,41.23233531368896,84.21525615267456,1.0
30,2.2083357225835893,58.027111063711324,259.97042399831116,0.9990909090909091
40,2.2084516900784683,85.7750808005221,182.26407608017325,1.0
