Mērījums,PID,NMPC_orig,NMPC_patch,Uzlabojums [%]
Aggregate heading RMSE [°],1.5238026290499378,1.6090145771795854,0.24930190942889732,84.50592598944043
Settled heading RMSE [°],0.04916442138263537,0.05273364391912954,0.05212664684571838,1.1510622598772557
Depth-coupling max|e| (255–310 s) [°],0.06348194501106942,0.04915889213542263,0.04703988273323768,4.310531238880477
Reversal max|e| (495–560 s) [°],1.4782699964847743,1.952503427260822,0.9177025726202992,52.99867033228467
