call_index,mission_time_s,nmpc_solve_time_ms,pid50_solve_time_ms,pid5_solve_time_ms
150,30.000,22.5658,0.0330,0.0218
151,30.200,28.4348,0.0219,0.0215
152,30.400,24.6071,0.0220,0.0210
153,30.600,21.8013,0.0216,0.0211
154,30.800,16.5432,0.0217,0.0220
155,31.000,15.7017,0.0215,0.0214
156,31.200,13.8071,0.0212,0.0217
157,31.400,14.6485,0.0217,0.0221
158,31.600,13.6592,0.0222,0.0211
159,31.800,13.7384,0.0279,0.0209
160,32.000,13.8279,0.0272,0.0209
161,32.200,14.8816,0.0290,0.0217
162,32.400,15.1775,0.0210,0.0212
163,32.600,15.7292,0.0209,0.0354
164,32.800,15.4625,0.0214,0.0345
165,33.000,13.2816,0.0209,0.0271
166,33.200,12.7597,0.0209,0.0384
167,33.400,14.1157,0.0212,0.0382
168,33.600,13.7896,0.0208,0.0229
169,33.800,13.2842,0.0258,0.0219
170,34.000,14.4342,0.0296,0.0220
171,34.200,14.5166,0.0252,0.0379
172,34.400,13.5074,0.0213,0.0228
173,34.600,12.7243,0.0209,0.0223
174,34.800,14.3593,0.0209,0.0384
175,35.000,12.8373,0.0213,0.0375
176,35.200,14.4096,0.0210,0.0224
177,35.400,13.6863,0.0209,0.0215
178,35.600,13.1716,0.0210,0.0221
179,35.800,14.3723,0.0218,0.0219
180,36.000,14.6949,0.0311,0.0227
181,36.200,14.8004,0.0274,0.0213
182,36.400,15.4183,0.0217,0.0213
183,36.600,15.0546,0.0221,0.0216
184,36.800,14.9583,0.0218,0.0214
185,37.000,15.5216,0.0223,0.0213
186,37.200,15.3875,0.0219,0.0419
187,37.400,16.0692,0.0213,0.0223
188,37.600,14.0615,0.0233,0.0384
189,37.800,16.1015,0.0212,0.0370
190,38.000,17.3943,0.0219,0.0220
191,38.200,17.0891,0.0252,0.0217
192,38.400,15.9404,0.0252,0.0217
193,38.600,14.5433,0.0212,0.0215
194,38.800,13.8901,0.0210,0.0216
195,39.000,13.7642,0.0212,0.0219
196,39.200,13.8970,0.0256,0.0216
197,39.400,13.5235,0.0217,0.0218
198,39.600,13.9739,0.0219,0.0214
199,39.800,12.9448,0.0214,0.0213
200,40.000,15.8084,0.0211,0.0212
201,40.200,14.3597,0.0239,0.0214
202,40.400,13.6351,0.0247,0.0219
203,40.600,13.5946,0.0279,0.0212
204,40.800,15.0096,0.0217,0.0212
205,41.000,15.8222,0.0215,0.0213
206,41.200,15.2503,0.0213,0.0264
207,41.400,14.6296,0.0216,0.0213
208,41.600,15.1298,0.0215,0.0215
209,41.800,15.3678,0.0211,0.0222
210,42.000,15.0192,0.0210,0.0214
211,42.200,15.4677,0.0263,0.0212
212,42.400,14.7484,0.0297,0.0217
213,42.600,15.0667,0.0260,0.0216
214,42.800,15.4133,0.0211,0.0211
215,43.000,14.7077,0.0209,0.0210
216,43.200,14.9358,0.0209,0.0212
217,43.400,14.3976,0.0210,0.0217
218,43.600,13.9377,0.0218,0.0212
219,43.800,14.4210,0.0215,0.0214
220,44.000,14.5388,0.0209,0.0220
221,44.200,14.3515,0.0425,0.0212
222,44.400,14.4106,0.0390,0.0216
223,44.600,14.6533,0.0296,0.0214
224,44.800,14.6020,0.0215,0.0216
225,45.000,17.4477,0.0214,0.0212
226,45.200,16.3047,0.0215,0.0210
227,45.400,15.7425,0.0242,0.0315
228,45.600,14.6030,0.0212,0.0219
229,45.800,15.4582,0.0210,0.0224
230,46.000,15.8640,0.0383,0.0220
231,46.200,17.5578,0.0339,0.0213
232,46.400,18.3830,0.0349,0.0228
233,46.600,18.1635,0.0213,0.0226
234,46.800,15.8113,0.0214,0.0220
235,47.000,16.9837,0.0212,0.0232
236,47.200,17.9957,0.0212,0.0216
237,47.400,16.7318,0.0216,0.0214
238,47.600,14.6261,0.0215,0.0215
239,47.800,13.8046,0.0210,0.0457
240,48.000,13.5033,0.0437,0.0391
241,48.200,14.2854,0.0291,0.0221
242,48.400,13.4343,0.0306,0.0220
243,48.600,13.5446,0.0253,0.0217
244,48.800,13.9813,0.0213,0.0435
245,49.000,14.0682,0.0211,0.0353
246,49.200,15.2701,0.0215,0.0217
247,49.400,15.9812,0.0209,0.0215
248,49.600,15.8058,0.0209,0.0221
249,49.800,14.6643,0.0342,0.0214
250,50.000,14.3243,0.0353,0.0215
251,50.200,13.0452,0.0301,0.0346
252,50.400,12.5662,0.0216,0.0278
253,50.600,14.5602,0.0220,0.0381
254,50.800,16.1352,0.0214,0.0367
255,51.000,14.6193,0.0215,0.0219
256,51.200,16.4316,0.0231,0.0217
257,51.400,14.5426,0.0210,0.0220
258,51.600,13.9892,0.0210,0.0216
259,51.800,13.8655,0.0432,0.0223
260,52.000,13.8425,0.0335,0.0213
261,52.200,13.2205,0.0262,0.0215
262,52.400,13.5342,0.0239,0.0220
263,52.600,13.9314,0.0241,0.0384
264,52.800,13.1265,0.0215,0.0360
265,53.000,14.8628,0.0224,0.0222
266,53.200,14.4272,0.0216,0.0342
267,53.400,13.5563,0.0213,0.0233
268,53.600,14.3444,0.0324,0.0230
269,53.800,16.8544,0.0394,0.0226
270,54.000,22.8845,0.0279,0.0216
271,54.200,24.8608,0.0215,0.0221
272,54.400,24.5820,0.0215,0.0214
273,54.600,18.7593,0.0214,0.0217
274,54.800,14.2596,0.0222,0.0212
275,55.000,19.0504,0.0234,0.0213
276,55.200,14.1152,0.0209,0.0214
277,55.400,14.0187,0.0209,0.0216
278,55.600,13.8015,0.0415,0.0212
279,55.800,13.7218,0.0331,0.0210
280,56.000,13.9656,0.0302,0.0212
281,56.200,13.7647,0.0216,0.0210
282,56.400,13.3865,0.0218,0.0223
283,56.600,13.2006,0.0216,0.0220
284,56.800,13.7324,0.0229,0.0214
285,57.000,13.8188,0.0212,0.0211
286,57.200,14.2116,0.0221,0.0216
287,57.400,12.9738,0.0317,0.0214
288,57.600,13.1174,0.0363,0.0382
289,57.800,13.6728,0.0246,0.0370
290,58.000,13.2999,0.0233,0.0306
291,58.200,12.6649,0.0207,0.0222
292,58.400,13.5872,0.0205,0.0221
293,58.600,13.3137,0.0205,0.0217
294,58.800,13.8405,0.0205,0.0223
295,59.000,14.0720,0.0206,0.0217
296,59.200,14.6152,0.0204,0.0217
297,59.400,14.1791,0.0206,0.0217
298,59.600,14.7322,0.0208,0.0221
299,59.800,15.3428,0.0346,0.0352
300,60.000,15.0635,0.0365,0.0223
301,60.200,14.9235,0.0208,0.0385
302,60.400,14.0131,0.0215,0.0375
303,60.600,13.4907,0.0216,0.0221
304,60.800,13.3049,0.0207,0.0214
305,61.000,14.0103,0.0207,0.0218
306,61.200,14.5248,0.0207,0.0215
307,61.400,14.2801,0.0211,0.0217
308,61.600,14.9476,0.0207,0.0210
309,61.800,15.1458,0.0211,0.0215
310,62.000,16.8723,0.0253,0.0219
311,62.200,14.8526,0.0304,0.0219
312,62.400,13.9839,0.0214,0.0371
313,62.600,16.2732,0.0214,0.0276
314,62.800,16.1861,0.0214,0.0383
315,63.000,19.5697,0.0214,0.0378
316,63.200,18.2740,0.0207,0.0225
317,63.400,19.2147,0.0207,0.0379
318,63.600,17.2005,0.0208,0.0219
319,63.800,18.6888,0.0218,0.0995
320,64.000,16.2916,0.0226,0.0221
321,64.200,15.1211,0.0336,0.0218
322,64.400,16.5122,0.0243,0.0215
323,64.600,14.8222,0.0216,0.0354
324,64.800,15.0044,0.0209,0.0370
325,65.000,15.2162,0.0216,0.0274
326,65.200,15.9894,0.0207,0.0212
327,65.400,14.4187,0.0207,0.0220
328,65.600,14.3275,0.0213,0.0218
329,65.800,14.1676,0.0209,0.0218
330,66.000,14.0552,0.0208,0.0214
331,66.200,13.7044,0.0273,0.0214
332,66.400,13.9395,0.0311,0.0217
333,66.600,13.8109,0.0254,0.0217
334,66.800,14.7864,0.0209,0.0213
335,67.000,13.5431,0.0208,0.0380
336,67.200,13.5343,0.0212,0.0268
337,67.400,13.7588,0.0209,0.0379
338,67.600,14.2080,0.0208,0.0228
339,67.800,14.2673,0.0237,0.0223
340,68.000,15.4898,0.0209,0.0222
341,68.200,15.2310,0.0280,0.0229
342,68.400,15.6592,0.0267,0.0218
343,68.600,14.0361,0.0211,0.0212
344,68.800,14.0297,0.0209,0.0215
345,69.000,14.0565,0.0209,0.0220
346,69.200,15.3729,0.0209,0.0213
347,69.400,15.2201,0.0212,0.0387
348,69.600,14.3000,0.0210,0.0375
349,69.800,15.0479,0.0210,0.0223
350,70.000,19.8370,0.0211,0.0216
